14
html text/html
htm text/html
js application/javascript
json application/json
jpg image/jpeg
jpeg image/jpeg
txt text/plain
mpg video/mpeg
png image/png
pdf application/pdf
avi video/x-msvideo
java text/x-java-source
gif image/gif
css text/css

